chevron down,chevron-down.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/chevron-down.svg
chevron left,chevron-left.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/chevron-left.svg
chevron right,chevron-right.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/chevron-right.svg
chevron up,chevron-up.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/chevron-up.svg
clipboard,clipboard.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/clipboard.svg
clock,clock.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/clock.svg
close circle,close-circle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/close-circle.svg
close square,close-square.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/close-square.svg
close,close.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/close.svg
cloud download,cloud-download.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/cloud-download.svg
cloud upload,cloud-upload.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/cloud-upload.svg
code download,code-download.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/code-download.svg
code,code.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/code.svg
collapse,collapse.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/collapse.svg
color palette,color-palette.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/color-palette.svg
color picker,color-picker.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/color-picker.svg
compass,compass.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/compass.svg
copy,copy.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/copy.svg
corner down left,corner-down-left.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/corner-down-left.svg
corner down right,corner-down-right.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/corner-down-right.svg
corner left down,corner-left-down.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/corner-left-down.svg
corner left up,corner-left-up.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/corner-left-up.svg
corner right down,corner-right-down.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/corner-right-down.svg
corner right up,corner-right-up.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/corner-right-up.svg
corner up left,corner-up-left.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/corner-up-left.svg
corner up right,corner-up-right.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/corner-up-right.svg
credit card,credit-card.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/credit-card.svg
crop,crop.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/crop.svg
cube,cube.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/cube.svg
diagonal arrow left down,diagonal-arrow-left-down.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/diagonal-arrow-left-down.svg
diagonal arrow left up,diagonal-arrow-left-up.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/diagonal-arrow-left-up.svg
diagonal arrow right down,diagonal-arrow-right-down.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/diagonal-arrow-right-down.svg
diagonal arrow right up,diagonal-arrow-right-up.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/diagonal-arrow-right-up.svg
done all,done-all.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/done-all.svg
download,download.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/download.svg
droplet off,droplet-off.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/droplet-off.svg
droplet,droplet.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/droplet.svg
edit 2,edit-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/edit-2.svg
edit,edit.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/edit.svg
email,email.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/email.svg
expand,expand.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/expand.svg
external link,external-link.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/external-link.svg
eye off 2,eye-off-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/eye-off-2.svg
eye off,eye-off.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/eye-off.svg
eye,eye.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/eye.svg
facebook,facebook.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/facebook.svg
file add,file-add.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/file-add.svg
file remove,file-remove.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/file-remove.svg
file text,file-text.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/file-text.svg
file,file.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/file.svg
film,film.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/film.svg
flag,flag.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/flag.svg
flash off,flash-off.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/flash-off.svg
flash,flash.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/flash.svg
flip 2,flip-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/flip-2.svg
flip,flip.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/flip.svg
folder add,folder-add.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/folder-add.svg
folder remove,folder-remove.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/folder-remove.svg
folder,folder.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/folder.svg
funnel,funnel.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/funnel.svg
gift,gift.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/gift.svg
github,github.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/github.svg
globe 2,globe-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/globe-2.svg
globe 3,globe-3.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/globe-3.svg
globe,globe.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/globe.svg
google,google.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/google.svg
grid,grid.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/grid.svg
hard drive,hard-drive.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/hard-drive.svg
hash,hash.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/hash.svg
headphones,headphones.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/headphones.svg
heart,heart.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/heart.svg
home,home.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/home.svg
image 2,image-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/image-2.svg
image,image.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/image.svg
inbox,inbox.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/inbox.svg
info,info.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/info.svg
keypad,keypad.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/keypad.svg
layers,layers.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/layers.svg
layout,layout.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/layout.svg
link 2,link-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/link-2.svg
link,link.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/link.svg
linkedin,linkedin.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/linkedin.svg
list,list.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/list.svg
lock,lock.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/lock.svg
log in,log-in.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/log-in.svg
log out,log-out.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/log-out.svg
map,map.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/map.svg
maximize,maximize.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/maximize.svg
menu 2,menu-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/menu-2.svg
menu arrow,menu-arrow.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/menu-arrow.svg
menu,menu.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/menu.svg
message circle,message-circle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/message-circle.svg
message square,message-square.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/message-square.svg
mic off,mic-off.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/mic-off.svg
mic,mic.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/mic.svg
minimize,minimize.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/minimize.svg
minus circle,minus-circle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/minus-circle.svg
minus square,minus-square.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/minus-square.svg
minus,minus.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/minus.svg
monitor,monitor.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/monitor.svg
moon,moon.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/moon.svg
more horizontal,more-horizontal.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/more-horizontal.svg
more vertical,more-vertical.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/more-vertical.svg
move,move.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/move.svg
music,music.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/music.svg
navigation 2,navigation-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/navigation-2.svg
navigation,navigation.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/navigation.svg
npm,npm.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/npm.svg
options 2,options-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/options-2.svg
options,options.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/options.svg
pantone,pantone.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/pantone.svg
paper plane,paper-plane.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/paper-plane.svg
pause circle,pause-circle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/pause-circle.svg
people,people.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/people.svg
percent,percent.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/percent.svg
person add,person-add.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/person-add.svg
person delete,person-delete.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/person-delete.svg
person done,person-done.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/person-done.svg
person remove,person-remove.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/person-remove.svg
person,person.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/person.svg
phone call,phone-call.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/phone-call.svg
phone missed,phone-missed.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/phone-missed.svg
phone off,phone-off.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/phone-off.svg
phone,phone.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/phone.svg
pie chart 2,pie-chart-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/pie-chart-2.svg
pie chart,pie-chart.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/pie-chart.svg
pin,pin.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/pin.svg
play circle,play-circle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/play-circle.svg
plus circle,plus-circle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/plus-circle.svg
plus square,plus-square.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/plus-square.svg
plus,plus.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/plus.svg
power,power.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/power.svg
pricetags,pricetags.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/pricetags.svg
printer,printer.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/printer.svg
question mark circle,question-mark-circle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/question-mark-circle.svg
question mark,question-mark.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/question-mark.svg
radio button off,radio-button-off.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/radio-button-off.svg
radio button on,radio-button-on.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/radio-button-on.svg
radio,radio.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/radio.svg
recording,recording.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/recording.svg
refresh,refresh.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/refresh.svg
repeat,repeat.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/repeat.svg
rewind left,rewind-left.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/rewind-left.svg
rewind right,rewind-right.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/rewind-right.svg
save,save.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/save.svg
scissors,scissors.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/scissors.svg
search,search.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/search.svg
settings 2,settings-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/settings-2.svg
settings,settings.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/settings.svg
shake,shake.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/shake.svg
share,share.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/share.svg
shield off,shield-off.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/shield-off.svg
shield,shield.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/shield.svg
shopping bag,shopping-bag.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/shopping-bag.svg
shopping cart,shopping-cart.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/shopping-cart.svg
shuffle 2,shuffle-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/shuffle-2.svg
shuffle,shuffle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/shuffle.svg
skip back,skip-back.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/skip-back.svg
skip forward,skip-forward.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/skip-forward.svg
slash,slash.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/slash.svg
smartphone,smartphone.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/smartphone.svg
smiling face,smiling-face.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/smiling-face.svg
speaker,speaker.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/speaker.svg
square,square.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/square.svg
star,star.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/star.svg
stop circle,stop-circle.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/stop-circle.svg
sun,sun.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/sun.svg
swap,swap.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/swap.svg
sync,sync.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/sync.svg
text,text.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/text.svg
thermometer minus,thermometer-minus.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/thermometer-minus.svg
thermometer plus,thermometer-plus.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/thermometer-plus.svg
thermometer,thermometer.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/thermometer.svg
toggle left,toggle-left.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/toggle-left.svg
toggle right,toggle-right.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/toggle-right.svg
trash 2,trash-2.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/trash-2.svg
trash,trash.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/trash.svg
trending down,trending-down.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/trending-down.svg
trending up,trending-up.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/trending-up.svg
tv,tv.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/tv.svg
twitter,twitter.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/twitter.svg
umbrella,umbrella.svg,fill,https://wentin.github.io/eva-icons/package/icons/fill/svg/umbrella.svg
